Timestamp,Player1,Player2,Difficulty,FinalScore,Duration,Won,P1_Questions,P1_Correct,P1_Surprises,P1_GoodSurprises,P1_BadSurprises,P1_MinesFlagged,P1_CorrectFlags,P1_WrongFlags,P1_CellsRevealed,P1_MinesRevealed,P2_Questions,P2_Correct,P2_Surprises,P2_GoodSurprises,P2_BadSurprises,P2_MinesFlagged,P2_CorrectFlags,P2_WrongFlags,P2_CellsRevealed,P2_MinesRevealed
2025-11-26 19:04:16,hhh,kkkkk,Easy,-99,146,false,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,48,7,41,7,6
2025-11-26 19:10:47,hh,rrrrr,Easy,39,80,false,1,0,0,0,0,0,0,0,15,5,1,1,0,0,0,0,0,0,16,5
